"Provider Name","Service Name","Preview"
"Microsoft.Sql/servers/dnsAliases","Azure SQL Database","True"
"Microsoft.Sql/locations/dnsAliasAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/dnsAliasOperationResults","Azure SQL Database","True"
"Microsoft.Sql/servers/failoverGroups","Azure SQL Database","True"
"Microsoft.Sql/locations/failoverGroupAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/failoverGroupOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/firewallRulesOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/firewallRulesAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/deleteVirtualNetworkOrSubnets","Azure SQL Database","False"
"Microsoft.Sql/servers/virtualNetworkRules","Azure SQL Database","True"
"Microsoft.Sql/locations/virtualNetworkRulesOperationResults","Azure SQL Database","False"
"Microsoft.Sql/locations/virtualNetworkRulesAzureAsyncOperation","Azure SQL Database","False"
"Microsoft.Sql/locations/deleteVirtualNetworkOrSubnetsOperationResults","Azure SQL Database","False"
"Microsoft.Sql/locations/deleteVirtualNetworkOrSubnetsAzureAsyncOperation","Azure SQL Database","False"
"Microsoft.Sql/locations/databaseRestoreAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/servers/usages","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/metricDefinitions","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/metrics","Azure SQL Database","False"
"Microsoft.Sql/servers/aggregatedDatabaseMetrics","Azure SQL Database","False"
"Microsoft.Sql/servers/elasticpools/metrics","Azure SQL Database","False"
"Microsoft.Sql/servers/elasticpools/metricdefinitions","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/topQueries","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/topQueries/queryText","Azure SQL Database","False"
"Microsoft.Sql/servers/advisors","Azure SQL Database","False"
"Microsoft.Sql/servers/elasticPools/advisors","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/advisors","Azure SQL Database","False"
"Microsoft.Sql/servers/databases/extensions","Azure SQL Database","False"
"Microsoft.Sql/servers/elasticPoolEstimates","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/auditRecords","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/VulnerabilityAssessmentScans","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/workloadGroups","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/vulnerabilityAssessments","Azure SQL Database","True"
"Microsoft.Sql/servers/vulnerabilityAssessments","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/databases/vulnerabilityAssessments","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/vulnerabilityAssessments","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/VulnerabilityAssessmentSettings","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/VulnerabilityAssessment","Azure SQL Database","True"
"Microsoft.Sql/locations/vulnerabilityAssessmentScanAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/vulnerabilityAssessmentScanOperationResults","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/recommendedSensitivityLabels","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/syncGroups","Azure SQL Database","True"
"Microsoft.Sql/servers/databases/syncGroups/syncMembers","Azure SQL Database","True"
"Microsoft.Sql/servers/syncAgents","Azure SQL Database","True"
"Microsoft.Sql/instancePools","Azure SQL Database","True"
"Microsoft.Sql/locations/importExportOperationResults","Azure SQL Database","False"
"Microsoft.Sql/locations/importExportAzureAsyncOperation","Azure SQL Database","False"
"Microsoft.Sql/locations/instancePoolOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/instancePoolAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/managedInstances","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/administrators","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/databases","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/recoverableDatabases","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/metrics","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/metricDefinitions","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/databases/backupLongTermRetentionPolicies","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/sqlAgent","Azure SQL Database","False"
"Microsoft.Sql/locations/managedInstancePrivateEndpointConnectionProxyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstancePrivateEndpointConnectionProxyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstancePrivateEndpointConnectionOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstancePrivateEndpointConnectionAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionManagedInstances","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionManagedInstanceBackups","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceLongTermRetentionPolicyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceLongTermRetentionPolicyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionManagedInstanceBackupOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionManagedInstanceBackupAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseRestoreAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseRestoreOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseCompleteRestoreAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseCompleteRestoreOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedServerSecurityAlertPoliciesAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/managedInstances/tdeCertificates","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceTdeCertAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceTdeCertOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedServerSecurityAlertPoliciesOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/securityAlertPoliciesAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/securityAlertPoliciesOperationResults","Azure SQL Database","True"
"Microsoft.Sql/virtualClusters","Azure SQL Database","True"
"Microsoft.Sql/locations/virtualClusterAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/virtualClusterOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedInstanceOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/distributedAvailabilityGroupsOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/distributedAvailabilityGroupsAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/serverTrustCertificatesOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/serverTrustCertificatesAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/administratorAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/administratorOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/syncGroupOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/syncMemberOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/syncAgentOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/syncDatabaseIds","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionServers","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionBackups","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionPolicyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionPolicyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionBackupOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/longTermRetentionBackupAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/shortTermRetentionPolicyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/shortTermRetentionPolicyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedShortTermRetentionPolicyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedShortTermRetentionPolicyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/instanceFailoverGroups","Azure SQL Database","True"
"Microsoft.Sql/locations/instanceFailoverGroupAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/instanceFailoverGroupOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/privateEndpointConnectionProxyOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/privateEndpointConnectionProxyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/privateEndpointConnectionOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/outboundFirewallRulesAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/outboundFirewallRulesOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/privateEndpointConnectionAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/notifyAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/serverTrustGroups","Azure SQL Database","True"
"Microsoft.Sql/locations/serverTrustGroupOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/serverTrustGroupAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseMoveOperationResults","Azure SQL Database","True"
"Microsoft.Sql/locations/managedDatabaseMoveAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/servers/connectionPolicies","Azure SQL Database","False"
"Microsoft.Sql/locations/connectionPoliciesAzureAsyncOperation","Azure SQL Database","True"
"Microsoft.Sql/locations/connectionPoliciesOperationResults","Azure SQL Database","True"
"Microsoft.ClassicInfrastructureMigrate/*","Classic deployment model migration"
"Microsoft.ClassicInfrastructureMigrate/classicInfrastructureResources","Classic deployment model migration","False"
"Microsoft.Migrate/*","Azure Migrate"
"Microsoft.Migrate/projects","Azure Migrate","False"
"Microsoft.Migrate/migrateprojects","Azure Migrate","False"
"Microsoft.Migrate/assessmentProjects","Azure Migrate","False"
"Microsoft.Migrate/moveCollections","Azure Migrate","False"
"Microsoft.Migrate/operations","Azure Migrate","False"
"Microsoft.Migrate/locations","Azure Migrate","False"
"Microsoft.Migrate/locations/checkNameAvailability","Azure Migrate","False"
"Microsoft.Migrate/locations/assessmentOptions","Azure Migrate","False"
"Microsoft.Migrate/locations/rmsOperationResults","Azure Migrate","False"
"Microsoft.Advisor/*","Azure Advisor"
"Microsoft.Advisor/suppressions","Azure Advisor","False"
"Microsoft.Advisor/configurations","Azure Advisor","False"
"Microsoft.Advisor/recommendations","Azure Advisor","False"
"Microsoft.Advisor/generateRecommendations","Azure Advisor","False"
"Microsoft.Advisor/operations","Azure Advisor","False"
"Microsoft.ApiManagement/*","API Management"
"Microsoft.ApiManagement/service","API Management","False"
"Microsoft.ApiManagement/deletedServices","API Management","False"
"Microsoft.ApiManagement/locations","API Management","False"
"Microsoft.ApiManagement/locations/deletedServices","API Management","False"
"Microsoft.ApiManagement/validateServiceName","API Management","False"
"Microsoft.ApiManagement/checkServiceNameAvailability","API Management","False"
"Microsoft.ApiManagement/checkNameAvailability","API Management","False"
"Microsoft.ApiManagement/reportFeedback","API Management","False"
"Microsoft.ApiManagement/checkFeedbackRequired","API Management","False"
"Microsoft.ApiManagement/operations","API Management","False"
"Microsoft.ApiManagement/getDomainOwnershipIdentifier","API Management","False"
"Microsoft.ApiManagement/service/eventGridFilters","API Management","False"
"Microsoft.Automation/*","Automation"
"Microsoft.Automation/automationAccounts","Automation","False"
"Microsoft.Automation/automationAccounts/runbooks","Automation","False"
"Microsoft.Automation/automationAccounts/configurations","Automation","False"
"Microsoft.Automation/automationAccounts/webhooks","Automation","False"
"Microsoft.Automation/operations","Automation","False"
"Microsoft.Automation/automationAccounts/softwareUpdateConfigurations","Automation","False"
"Microsoft.Automation/automationAccounts/jobs","Automation","False"
"Microsoft.Automation/automationAccounts/privateLinkResources","Automation","True"
"Microsoft.Automation/automationAccounts/privateEndpointConnections","Automation","True"
"Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies","Automation","True"
"Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups","Automation","False"
"Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/hybridRunbookWorkers","Automation","False"
"Microsoft.Batch/*","Batch"
"Microsoft.Batch/batchAccounts","Batch","False"
"Microsoft.Batch/batchAccounts/pools","Batch","False"
"Microsoft.Batch/batchAccounts/certificates","Batch","False"
"Microsoft.Batch/operations","Batch","False"
"Microsoft.Batch/locations","Batch","False"
"Microsoft.Batch/locations/quotas","Batch","False"
"Microsoft.Batch/locations/checkNameAvailability","Batch","False"
"Microsoft.Batch/locations/accountOperationResults","Batch","False"
"Microsoft.Batch/locations/virtualMachineSkus","Batch","False"
"Microsoft.Batch/locations/cloudServiceSkus","Batch","False"
"Microsoft.Cache/*","Azure Cache for Redis"
"Microsoft.Cache/Redis","Azure Cache for Redis","False"
"Microsoft.Cache/Redis/privateEndpointConnectionProxies","Azure Cache for Redis","False"
"Microsoft.Cache/Redis/privateEndpointConnectionProxies/validate","Azure Cache for Redis","False"
"Microsoft.Cache/Redis/privateEndpointConnections","Azure Cache for Redis","False"
"Microsoft.Cache/Redis/privateLinkResources","Azure Cache for Redis","False"
"Microsoft.Cache/locations/asyncOperations","Azure Cache for Redis","False"
"Microsoft.Cache/locations","Azure Cache for Redis","False"
"Microsoft.Cache/locations/operationResults","Azure Cache for Redis","False"
"Microsoft.Cache/locations/operationsStatus","Azure Cache for Redis","False"
